Theme,Sub Theme,Feature Name,Co-ordinates
Mixed Use,Retail/Office/Carpark,ANZ 'Gothic' Bank,"-37.8161580666029, 144.961673719242"
Mixed Use,Nightclub,"Shed 9, Victoria Harbour, Docklands, 3008","-37.81656881500009, 144.94383499834845"
Mixed Use,Accommodation,"Sofitel Hotel, Collins Tower, 25 Collins Street, Melbourne, 3000","-37.81376526700552, 144.9729234875978"
Mixed Use,Bar,"Tenancy 47, Ground, 727 Collins Street, Docklands, 3008","-37.82046725912159, 144.94982290293075"
Mixed Use,Bar,"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000","-37.81038063462455, 144.9692357633733"
Mixed Use,Museum,"11 Nicholson Street, Carlton, 3053","-37.80372847051283, 144.97373148063383"
Mixed Use,Nightclub,"Restaurant Crown Towers Hotel, Crown Casino, 8 Whiteman Street, Southbank, 3006","-37.82243272720292, 144.9601748810828"
Mixed Use,Bar,"Podium, 1 Southgate Avenue, Southbank, 3006","-37.82047861515797, 144.96589092458512"
Mixed Use,Venue,"4-6 Goldie Place, Melbourne, 3000","-37.813558526665716, 144.96075407581748"
Mixed Use,Nightclub,"Level 1, 26 King Street, Melbourne, 3000","-37.81961099011078, 144.95739295718033"
Mixed Use,Bar,"Shop 46B, Ground, 8 Whiteman Street, Southbank, 3006","-37.82237743370056, 144.96013664101957"
Mixed Use,Bar,"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000","-37.817456737067324, 144.96378913395765"
Mixed Use,Bar,"278-300 Swanston Street, Melbourne, 3000","-37.81103540168751, 144.96467176356475"
Mixed Use,Hotel,"94-96 Bourke Street, Melbourne, 3000","-37.812003038513254, 144.97032587079298"
Mixed Use,Hotel,"501 Bourke Street, Melbourne, 3000","-37.81557207833605, 144.9591017007643"
Mixed Use,Venue,"Level 2-3, 2 Coverlid Place, Melbourne, 3000","-37.812290077617654, 144.96856088051632"
Mixed Use,Bar,"Shop 54A, Level 2, 8 Whiteman Street, Southbank, 3006","-37.82237605653925, 144.96005715393778"
Mixed Use,Bar,"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000","-37.81049466323917, 144.96260892303593"
Mixed Use,Bar,"Ground, 65 Peel Street, West Melbourne, 3003","-37.80669546524965, 144.95560816104967"
Mixed Use,Venue,"Pt Ground & Levels 1-5, 334-342 City Road, Southbank, 3006","-37.82795247595504, 144.95758234751773"
Mixed Use,Bar,"Level 1, 413-417 Elizabeth Street, Melbourne, 3000","-37.80915406493112, 144.9606400792035"
Mixed Use,,"298 Lygon Street, Carlton, 3053","-37.799970643253964, 144.96723895405708"
Mixed Use,Performance space,"90-130 Swanston Street, Melbourne, 3000","-37.814912543799636, 144.9664536170434"
Mixed Use,Casino,"8 Whiteman Street, Southbank, 3006","-37.822486643580916, 144.96013363399763"
Mixed Use,Venue,"150-162 Flinders Street, Melbourne, 3000","-37.81672152422505, 144.9694950938554"
Mixed Use,,"577-583 Little Collins Street, Melbourne, 3000","-37.81764606140045, 144.95554920127617"
Mixed Use,Bar,"Rear, 88 Flinders Street, Melbourne, 3000","-37.81602795476901, 144.97181318906033"
Mixed Use,Venue,"293-299 La Trobe Street, Melbourne, 3000","-37.81071423194513, 144.96049941842946"
Mixed Use,Bar,"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000","-37.81471253447779, 144.96556243961416"
Mixed Use,Bar,"Basement, 125 Flinders Lane, Melbourne, 3000","-37.81553872471665, 144.97036036207516"
Mixed Use,Nightclub,"Level 2, 318-322 Little Collins Street, Melbourne, 3000","-37.81503810840179, 144.96410864029963"
Mixed Use,Hotel,"421 Rathdowne Street, Carlton, 3053","-37.79645167488737, 144.97050823745553"
Mixed Use,Hotel,"Shed 9, Victoria Harbour, Docklands, 3008","-37.816571590803626, 144.9439939584494"
Mixed Use,Bar,"Ground, 397 Little Lonsdale Street, Melbourne, 3000","-37.81181776178239, 144.96018541434393"
Mixed Use,Amusement/Theme Venue,"78-86 Dudley Street, West Melbourne, 3003","-37.80900975220489, 144.9526861520936"
Mixed Use,Nightclub,"Ground, 113 Queen Street, Melbourne, 3000","-37.815890178211724, 144.9609036675483"
Mixed Use,Nightclub,"229 Queensbury St, Carlton,","-37.80447486558001, 144.9611358873818"
Mixed Use,,"Unit 1, 377 Lonsdale Street, Melbourne, 3000","-37.81267565867737, 144.96140750009823"
Mixed Use,Bar,"Level 1, 246 Russell Street, Melbourne, 3000","-37.81048858505954, 144.96722384705905"
Mixed Use,Bar,"Level 2, 79 Bourke Street, Melbourne, 3000","-37.81207864874162, 144.97105279643523"
Mixed Use,Bar,"Level 1, 16-20 Corrs Lane, Melbourne, 3000","-37.811157037789194, 144.96837654729146"
Mixed Use,Performance space,"AAMI Park, Olympic Park, 60 Olympic Boulevard, Melbourne, 3004","-37.823968769882505, 144.98255462534763"
Mixed Use,Bar,"12 Bligh Place, Melbourne, 3000","-37.81710896940462, 144.9637044827892"
Mixed Use,Multi-use,"Tenancy 6, Alfred Deakin Building, Federation Square, 2 Swanston Street, Melbourne, 3000","-37.81834623092842, 144.96908666163947"
Mixed Use,,"Level 55S, 525 Collins Street, Melbourne, 3000","-37.818353178519466, 144.95714325498983"
Mixed Use,Bar,"5 Riverside Quay, Southbank, 3006","-37.82144024332026, 144.96446071868732"
Mixed Use,Bar,"Unit 1, Basement, 277 Flinders Lane, Melbourne, 3000","-37.81703740632109, 144.96524327382468"
Mixed Use,Bar,"71 Collins Street, Melbourne, 3000","-37.81424168617854, 144.97130100975428"
Mixed Use,Public University/College,"Union House Building 130, 230 Grattan Street, Parkville, 3010","-37.799912958805734, 144.96063239627077"
Mixed Use,Venue,"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000","-37.81474151304183, 144.96600928994255"
Mixed Use,Hotel,"Shop 1, 242 Exhibition Street, Melbourne, 3000","-37.809916568560254, 144.96975861429243"
Mixed Use,Performance space,"100 St Kilda Road, Southbank, 3006","-37.821552859925035, 144.96888500926758"
Mixed Use,Hotel,"223-227 Canning Street, Carlton, 3053","-37.7930358326425, 144.9735256623954"
Mixed Use,Bar,"502-504 Flinders Street, Melbourne, 3000","-37.82013879156501, 144.95772242087293"
Mixed Use,Museum,"400-424 Flinders Street, Melbourne, 3000","-37.81931971370013, 144.96049295002675"
Mixed Use,Hotel,"521 Macaulay Road, Kensington, 3031","-37.79436125976925, 144.92860315925475"
Mixed Use,Accommodation,"20 Parliament Place, East Melbourne, 3002","-37.811280207254434, 144.97559084778078"
Mixed Use,,"87-91 Arden Street, North Melbourne, 3051","-37.80085694095499, 144.94761918548477"
Mixed Use,,"Level 1-3, 256 Collins Street, Melbourne, 3000","-37.81569096024321, 144.96536899928205"
Mixed Use,Hotel,"240 King Street, Melbourne, 3000","-37.81460565414994, 144.95509368927424"
Mixed Use,Gallery,"100-186 La Trobe Street, Melbourne, 3000","-37.809097098049996, 144.96503629766326"
Mixed Use,Venue,"11 Singers Lane, Melbourne, 3000","-37.8112098332617, 144.95679721844013"
Mixed Use,,"621-633 Bourke Street, Melbourne, 3000","-37.816698511726194, 144.95514280793918"
Mixed Use,Venue,"John Curtin Hotel, 27-31 Lygon Street, Carlton, 3053","-37.806212169256085, 144.9658160624824"
Mixed Use,Nightclub,"383 Lonsdale Street, Melbourne, 3000","-37.812729378942684, 144.96122123033936"
Mixed Use,Bar,"Vault, 1-9 Princes Walk, Melbourne, 3000","-37.818689511539546, 144.96869720953168"
Mixed Use,Bar,"Level 1-4, 167-175 Franklin Street, Melbourne, 3000","-37.80871596791028, 144.95902457942904"
Mixed Use,Performance space,"Margaret Court Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004","-37.8225900077663, 144.9779329217489"
Mixed Use,Nightclub,"Gnd & Mezzanine, 425 Collins Street, Melbourne, 3000","-37.8173778889626, 144.96055381695814"
Mixed Use,,"Alexandra Avenue, Melbourne, 3004","-37.82300093980653, 144.97482025339892"
Mixed Use,,"8 Spencer Street, Melbourne, 3000","-37.820719517066344, 144.95509884823858"
Mixed Use,Bar,"Ground, 59-63 Bourke Street, Melbourne, 3000","-37.8119532178998, 144.97148245909204"
Mixed Use,Hotel,"Shop 17, Ground, 18-38 Siddeley Street, Docklands, 3008","-37.82227454064513, 144.9535974644043"
Mixed Use,Multi-use,"Basement, 387 Flinders Lane, Melbourne, 3000","-37.818170221925946, 144.9612683910999"
Mixed Use,Theatre,"Level 1, 520-522 Flinders Street, Melbourne, 3000","-37.820357932687585, 144.95696625309793"
Mixed Use,Nightclub,"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000","-37.812052247519325, 144.96793672846434"
Mixed Use,,"15 Dukes Walk, South Wharf, 3006","-37.82438903938934, 144.95063258929684"
Mixed Use,Bar,"Gnd & Flr1, 427 Little Collins Street, Melbourne, 3000","-37.81619295477831, 144.960463460251"
Mixed Use,Nightclub,"Ground, 120 King Street, Melbourne, 3000","-37.81726434461992, 144.95638356625756"
Mixed Use,Bar,"Level 1, 37-41 Little Bourke Street, Melbourne, 3000","-37.810747836953425, 144.97146559576274"
Mixed Use,Multi-use,"251 Faraday Street, Carlton, 3053","-37.79861750965004, 144.9654893886899"
Mixed Use,Performance space,"156 Collins Street, Melbourne, 3000","-37.8148247935781, 144.96831819904696"
Mixed Use,Amusement/Theme Venue,"300 Epsom Road, Flemington, 3032","-37.78040735195738, 144.91437999700486"
Mixed Use,Bar,"Level 1-2, 239 Lonsdale Street, Melbourne, 3000","-37.811527225540964, 144.96535317015017"
Mixed Use,Performance space,"300 Dudley Street, West Melbourne, 3003","-37.811437769852866, 144.9461726133059"
Mixed Use,,"Basement, 67 Hardware Lane, Melbourne, 3000","-37.81325334536212, 144.9610159338816"
Mixed Use,Bar,"Ground, 106 Little Lonsdale Street, Melbourne, 3000","-37.809251212232525, 144.96862686025293"
Mixed Use,Multi-use,"Level 1, 15 Queen Street, Melbourne, 3000","-37.818408350668456, 144.96207799460493"
Mixed Use,Performance space,"65-159 Victoria Street, Melbourne, 3000","-37.806188527484565, 144.9575348670326"
Mixed Use,Nightclub,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000","-37.81914827560788, 144.96232307486835"
Mixed Use,Bar,"Unit S13, Level 6, 252 Swanston Street, Melbourne, 3000","-37.81204087370973, 144.96505253454222"
Mixed Use,,"Suite 12, Basement, 108 Bourke Street, Melbourne, 3000","-37.8121190907495, 144.9699347659403"
Mixed Use,Nightclub,"Basement, 85 Queen Street, Melbourne, 3000","-37.816506994449085, 144.96120225838388"
Mixed Use,Theatre,"191-197 Collins Street, Melbourne, 3000","-37.81534585273267, 144.9675380003948"
Mixed Use,Nightclub,"Shop 52, Level 2, 8 Whiteman Street, Southbank, 3006","-37.82381122217111, 144.95741449297574"
Mixed Use,Venue,"238 Victoria Street, Melbourne, 3000","-37.80601960940114, 144.95855233201263"
Mixed Use,Venue,"110 William Street, Melbourne, 3000","-37.816671478507224, 144.95884607575877"
Mixed Use,Bar,"12 Bourke Street, Melbourne, 3000","-37.8113496150961, 144.97256750232202"
Mixed Use,,"Level 1, 188 Collins Street, Melbourne, 3000","-37.81509905764948, 144.96746914835032"
Mixed Use,Community hall,"149 Canning Street, Carlton, 3053","-37.795035125757934, 144.97317627114788"
Mixed Use,Theatre,"240 Exhibition Street, Melbourne, 3000","-37.81021736084806, 144.96989592744947"
Mixed Use,Bar,"Unit 1, LwrGround, 131 Queen Street, Melbourne, 3000","-37.815538920511045, 144.96075342315893"
Mixed Use,Bar,"21-25 Hardware Lane, Melbourne, 3000","-37.81406901492111, 144.96139208309128"
Mixed Use,Performance space,"230 Grattan Street, Parkville, 3010","-37.799910206479105, 144.9604734702218"
Mixed Use,Nightclub,"Basement, 105 Queen Street, Melbourne, 3000","-37.81607553369085, 144.96100472386703"
Mixed Use,Bar,"4A Centre Place, Melbourne, 3000","-37.81675634145909, 144.96562102792308"
Mixed Use,Bar,"Ground, 54 Hardware Lane, Melbourne, 3000","-37.813473669206125, 144.96119469998956"
Mixed Use,,"Level 15, 123 Queen Street, Melbourne, 3000","-37.8156945346344, 144.960819979804"
Mixed Use,Accommodation,"Pan Pacific Melbourne, 2 Convention Centre Place, South Wharf, 3006","-37.82511036230947, 144.9509891753036"
Mixed Use,Nightclub,"8 Whiteman Street, Southbank, 3006","-37.82242997287491, 144.96001590680228"
Mixed Use,Bar,"Casino, 8 Whiteman Street, Southbank, 3006","-37.82371881012607, 144.95746455234837"
Mixed Use,Library,"Pt Gnd ,Pt Mezz & Lvl 1, 253-265 Flinders Lane, Melbourne, 3000","-37.816868507007, 144.96581223646334"
Mixed Use,Nightclub,"Ground, 16-20 Corrs Lane, Melbourne, 3000","-37.81115429522088, 144.96821759637908"
Mixed Use,Bar,"41 Bourke Street, Melbourne, 3000","-37.81180924479099, 144.9719804643413"
Mixed Use,Hotel,"Unit 8-17, Level 3-12, 35 Elizabeth Street, Melbourne, 3000","-37.81739448122377, 144.964498854058"
Mixed Use,Hotel,"33 Errol Street, North Melbourne, 3051","-37.8042244812213, 144.94924245595533"
Mixed Use,Bar,"Shop 9, 800 Bourke Street, Docklands, 3008","-37.81926761043375, 144.94526954775787"
Mixed Use,Performance space,"2 Swanston Street, Melbourne, 3000","-37.81839877968878, 144.96896594005398"
Mixed Use,Bar,"1-23 City Road, Southbank, 3006","-37.82122194809231, 144.9675570806361"
Mixed Use,Library,"122 George Street, East Melbourne, 3002","-37.81527551487422, 144.9863774281896"
Mixed Use,Bar,"11A Highlander Lane, Melbourne, 3000","-37.81969180587922, 144.9580106038663"
Mixed Use,Accommodation,"487-503 Collins Street, Melbourne, 3000","-37.81812958399533, 144.95792591365702"
Mixed Use,,"Rear, 359 Lonsdale Street, Melbourne, 3000","-37.81255176993681, 144.9618356969375"
Mixed Use,Venue,"68 Little Collins Street, Melbourne, 3000","-37.81290578487124, 144.97136869242834"
Mixed Use,Bar,"62 Little Collins Street, Melbourne, 3000","-37.812865395242035, 144.97150999418588"
Mixed Use,Hotel,"45 South Wharf Promenade, South Wharf, 3006","-37.82407576505346, 144.95043329351685"
Mixed Use,Hotel,"Shop 12-16, Ground, 3 Southgate Avenue, Southbank, 3006","-37.82033397996246, 144.9664180424327"
Mixed Use,Amusement/Theme Venue,"Shop 5, 101 Waterfront Way, Docklands, 3008","-37.811708257763414, 144.93818411601958"
Mixed Use,Bar,"Basement & Rear, 389 Lonsdale Street, Melbourne, 3000","-37.81278386278497, 144.96103223580576"
Mixed Use,Bar,"176 Bellair Street, Kensington, 3031","-37.79363079251513, 144.9300832037398"
Mixed Use,Nightclub,"21-25 Croft Alley, Melbourne, 3000","-37.8120527407846, 144.96912389323862"
Mixed Use,Hotel,"29 South Wharf Promenade, South Wharf, 3006","-37.82411828690496, 144.95189029706034"
Mixed Use,Amusement/Theme Venue,"180 St Kilda Road, Southbank, 3006","-37.82289869795763, 144.9695692957962"
Mixed Use,Hotel,"199-203 Russell Street, Melbourne, 3000","-37.81176295391396, 144.96743873754548"
Mixed Use,Amusement/Theme Venue,"Sea Life Melbourne Aquarium, King Street, Melbourne, 3000","-37.8209995658432, 144.95804714265464"
Mixed Use,Multi-use,"2 Clarendon Street, South Wharf, 3006","-37.823627136260576, 144.9560231776494"
Mixed Use,Performance space,"17 Church Street, Parkville, 3052","-37.78783638375116, 144.9416332134173"
Mixed Use,Multi-use,"107 Victoria Harbour Promenade, Docklands, 3008","-37.819873054704324, 144.94075608935833"
Mixed Use,Bar,"100 St Kilda Road, Southbank, 3006","-37.82150031142338, 144.96900573614997"
Mixed Use,,"Casino, 8 Whiteman Street, Southbank, 3006","-37.8237160520609, 144.9573055755779"
Mixed Use,Bar,"Unit S2, Level 1, 252 Swanston Street, Melbourne, 3000","-37.812105299613584, 144.9651302795867"
Mixed Use,Bar,"Level 2 & Roof, 401 Swanston Street, Melbourne, 3000","-37.809036429996624, 144.96337709793107"
Mixed Use,Nightclub,"272 City Road, Southbank, 3006","-37.82629052318406, 144.95944606241918"
Mixed Use,Hotel,"Basement, 290 Collins Street, Melbourne, 3000","-37.81593815528815, 144.96453019096924"
Mixed Use,Theatre,"36-54 Courtney Street, North Melbourne, 3051","-37.80159050732829, 144.95372820780835"
Mixed Use,Hotel,"377-389 Cardigan Street, Carlton, 3053","-37.797284200523016, 144.965847915991"
Mixed Use,Hotel,"193-199 Bourke Street, Melbourne, 3000","-37.81309470257678, 144.9676166993641"
Mixed Use,Nightclub,"Basement, 20 King Street, Melbourne, 3000","-37.819775804387085, 144.95746975329038"
Mixed Use,Library,"Ground, 207 City Road, Southbank, 3006","-37.8253171546193, 144.96107200523335"
Mixed Use,Nightclub,"The Melbourne Savage Club, 12-16 Bank Place, Melbourne, 3000","-37.81658693170178, 144.96043647413035"
Mixed Use,Nightclub,"Basement, 43-49 Hardware Lane, Melbourne, 3000","-37.81359471929996, 144.96117047987784"
Mixed Use,Bar,"249 Little Lonsdale Street, Melbourne, 3000","-37.81051763850372, 144.9646508376141"
Mixed Use,Performance space,"161 Harbour Esplanade, Docklands, 3008","-37.81596806067532, 144.94497289363386"
Mixed Use,Hotel,"333-337 William Street, West Melbourne, 3003","-37.80777173629092, 144.9544061811974"
Mixed Use,Bar,"10 Russell Place, Melbourne, 3000","-37.81385598389118, 144.96744878525442"
Mixed Use,Performance space,"Rod Laver Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004","-37.82258727739611, 144.97777394537906"
Mixed Use,Multi-use,"Level 1, 225 Bourke Street, Melbourne, 3000","-37.81328852220956, 144.96695028225128"
Mixed Use,Hotel,"The Metropolitan Hotel, 263-265 William Street, Melbourne, 3000","-37.812911404982586, 144.95676240471337"
Mixed Use,Hotel,"103-137 Spring Street, Melbourne, 3000","-37.81195937492122, 144.97313628316482"
Mixed Use,Bar,"Gnd & Flr1, 14 Corrs Lane, Melbourne, 3000","-37.811235398938436, 144.9683349834688"
Mixed Use,Bar,"2 Driver Lane, Melbourne, 3000","-37.81282106809502, 144.96298868379125"
Mixed Use,Nightclub,"Ground, 160-162 Lygon Street, Carlton, 3053","-37.80345202353251, 144.9666383380664"
Mixed Use,Bar,"13 Heffernan Lane, Melbourne, 3000","-37.811773258347344, 144.9666888906996"
Mixed Use,Hotel,"361-365 Victoria Street, West Melbourne, 3003","-37.8052879130126, 144.9494898220434"
Mixed Use,Bar,"113 Lonsdale Street, Melbourne, 3000","-37.81046224853603, 144.96895746044424"
Mixed Use,bar,"120 Exhibition Street, Melbourne, 3000","-37.81285332078208, 144.97110417388942"
Mixed Use,Bar,"2 Flinders Walk, Melbourne, 3000","-37.81890972470938, 144.96679263372738"
Mixed Use,Bar,"237 Lonsdale Street, Melbourne, 3000","-37.81150165387338, 144.9654399624449"
Mixed Use,Recording,"Gnd & Levels 1 -3, 120 King Street, Melbourne, 3000","-37.81726158549317, 144.95622460343756"
Mixed Use,Church,"St Michaels Uniting Church, 122-136 Collins Street, Melbourne, 3000","-37.81452691849391, 144.96935205119595"
Mixed Use,,"Kelvin Club, 14-30 Melbourne Place, Melbourne, 3000","-37.8132350970678, 144.96883724816743"
Mixed Use,Hotel,"46 Leveson Street, North Melbourne, 3051","-37.80370793018695, 144.951185078014"
Mixed Use,Venue,"Basement, 103 Flinders Lane, Melbourne, 3000","-37.815376525088666, 144.97089701596647"
Mixed Use,Multi-use,"Carpark, 100 St Kilda Road, Southbank, 3006","-37.82144364943292, 144.9688880032937"
Mixed Use,Nightclub,"Level 1, 163-165 Russell Street, Melbourne, 3000","-37.81248788571263, 144.9677712185572"
Mixed Use,Bar,"27-29 Tattersalls Lane, Melbourne, 3000","-37.8117627149045, 144.9654889438025"
Mixed Use,Theatre,"184-192 Collins Street, Melbourne, 3000","-37.81509631361538, 144.96731018907587"
Mixed Use,Bar,"Shop 2, 47-55 Little Bourke Street, Melbourne, 3000","-37.8108890793276, 144.97103359901016"
Mixed Use,Recording,"Suite 1, Ground, 135 Sturt Street, Southbank, 3006","-37.827341922099656, 144.96636533745024"
Mixed Use,Nightclub,"Ground, 20-24 Bond Street, Melbourne, 3000","-37.818180434552545, 144.96282893879925"
Mixed Use,Nightclub,"LwrGround, 25 Bank Place, Melbourne, 3000","-37.81630543173182, 144.9602164244812"
Mixed Use,Nightclub,"54-60 King Street, Melbourne, 3000","-37.81895269154036, 144.95708651070385"
Mixed Use,Hotel,"234-236 Domain Road, South Yarra, 3141","-37.83444869858646, 144.98562037149898"
Mixed Use,Bar,"171 Elgin Street, Carlton, 3053","-37.797432725686676, 144.96879689682868"
Mixed Use,Venue,"Berth 10, Victoria Harbour, Docklands, 3008","-37.817380564148905, 144.9423023877635"
Mixed Use,Hotel,"169 Domain Road, South Yarra, 3141","-37.83414391594419, 144.98179263809277"
Mixed Use,Nightclub,"8 Whiteman Street, Southbank, 3006","-37.82248526641422, 144.96005414679885"
Mixed Use,Bar,"Basement, 55 Elizabeth Street, Melbourne, 3000","-37.81697659904653, 144.96422322338523"
Mixed Use,Bar,"Shop 311, Level 3, 300 Lonsdale Street, Melbourne, 3000","-37.81016156449148, 144.96340822349765"
Mixed Use,Bar,"Shop 10, Campbell Arcade, Melbourne, 3000","-37.81780039372033, 144.96608291162394"
Mixed Use,Performance space,"Basement, 24 Block Place, Melbourne, 3000","-37.815398812509436, 144.96439685314675"
Mixed Use,Bar,"Ground, 19-23 Meyers Place, Melbourne, 3000","-37.81212244439291, 144.97221043633814"
Mixed Use,Bar,"Shop 4, 4 Riverside Quay, Southbank, 3006","-37.82109278417599, 144.96374450927075"
Mixed Use,Theatre,"199-219 Exhibition Street, Melbourne, 3000","-37.81089990679512, 144.96984175787586"
Mixed Use,Accommodation,"27 Little Collins Street, Melbourne, 3000","-37.812646032283375, 144.9726492304484"
Mixed Use,,"33 Block Place, Melbourne, 3000","-37.81530880548056, 144.96431671833355"
Mixed Use,Bar,"Unit S15, Level 7, 252 Swanston Street, Melbourne, 3000","-37.81197919475205, 144.96513374198747"
Mixed Use,Nightclub,"188-200 King Street, Melbourne, 3000","-37.815558987309416, 144.95553316188418"
Mixed Use,,"Unit 20, Basement, 35 Elizabeth Street, Melbourne, 3000","-37.817391733040644, 144.96433989015495"
Mixed Use,Church,"178-204 Palmerston Street, Carlton, 3053","-37.795962230869854, 144.9687595076568"
Mixed Use,Bar,"233 Lonsdale Street, Melbourne, 3000","-37.81146925497217, 144.9655499214504"
Mixed Use,,"Gnd & Bmt, 2 Drewery Place, Melbourne, 3000","-37.81119498448426, 144.9640484516178"
Mixed Use,,"Basement, 334-342 City Road, Southbank, 3006","-37.82794971778835, 144.95742336165304"
Mixed Use,Venue,"Gnd & Level 1, 14 Raglan Street, North Melbourne, 3051","-37.80432381180095, 144.95011526791205"
Mixed Use,Bar,"2 Lygon Street, Carlton, 3053","-37.80683784363076, 144.96605581842582"
Mixed Use,Multi-use,"Basement, 2-6 Parliament Place, East Melbourne, 3002","-37.81168447518055, 144.97552005641302"
Mixed Use,,"508-514 Flinders Street, Melbourne, 3000","-37.820280653979886, 144.95723615975294"
Mixed Use,Multi-use,"225 King Street, Melbourne, 3000","-37.81498068947084, 144.95490184835984"
Mixed Use,Nightclub,"Shop 53, Level 2, 8 Whiteman Street, Southbank, 3006","-37.823635015853306, 144.95781296125432"
Mixed Use,Hotel,"Young And Jacksons Hotel, 1 Swanston Street, Melbourne, 3000","-37.81736432768269, 144.96721031538397"
Mixed Use,Public University/College,"5-17 Flemington Road, North Melbourne, 3051","-37.80095036830012, 144.95617406859978"
Mixed Use,Nightclub,"LwrGround, 121-131 Collins Street, Melbourne, 3000","-37.81548538501546, 144.96956538490497"
Mixed Use,Hotel,"497 Queensberry Street, North Melbourne, 3051","-37.80332009816263, 144.95076027104383"
Mixed Use,Bar,"Basement & LwrGround, 45 Flinders Lane, Melbourne, 3000","-37.81476781579968, 144.97298148815318"
Mixed Use,Venue,"Level 1, 26 Errol Street, North Melbourne, 3051","-37.80449837044193, 144.94954077158977"
Mixed Use,Hotel,"95-101 Flinders Lane, Melbourne, 3000","-37.81533364912343, 144.97103885657114"
Mixed Use,Performance space,"Alexandra Avenue, Melbourne, 3004","-37.82080257920049, 144.97185569304133"
Mixed Use,Bar,"Level 1, 7-9 Waratah Place, Melbourne, 3000","-37.811626300807845, 144.96709845288777"
Mixed Use,Hotel,"Tenancy 29, Level 2, 2 Swanston Street, Melbourne, 3000","-37.81828956913258, 144.96896893362114"
Mixed Use,Multi-use,"Building 8, RMIT University, 360 Swanston Street, Melbourne, 3000","-37.80877875813838, 144.96362521955905"
Mixed Use,Venue,"Unit S3-S4, Level 2, 252 Swanston Street, Melbourne, 3000","-37.81204362060309, 144.96521148704275"
Mixed Use,Bar,"Ground, 1 Southbank Boulevard, Southbank, 3006","-37.820988535980156, 144.9625166793894"
Mixed Use,Theatre,"163-181 Spring Street, Melbourne, 3000","-37.810683700820334, 144.97255452673397"
Mixed Use,Performance space,"Melbourne Recital Centre, 31 Sturt Street, Southbank, 3006","-37.82430328303502, 144.9672846102551"
Mixed Use,Performance space,"Elliott Avenue, Parkville, 3052","-37.78535415162557, 144.9531734126854"
Mixed Use,Hotel,"115-127 Russell Street, Melbourne, 3000","-37.81364054478455, 144.96829657234807"
Mixed Use,Venue,"488 Swanston Street, Carlton, 3053","-37.805459370954416, 144.96327549662402"
Mixed Use,Bar,"Ground, 4 Riverside Quay, Southbank, 3006","-37.821090034747975, 144.96358553751085"
